InputID,MasterFrame,ID,Mag,Magerr,RA,Decl,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
10222-12701,1009016050876,9121700901631034312,13.727054,0.052962115348724,43.09746,-8.5105,4.8,0,9121700901631,55182.1666464466,1.36,30,3115.58,4006.37,128874,371,0,7.8,3.561,5.35,0
10222-12701,1009016050876,9121700901641037913,13.731476,0.0529693576590705,43.09746,-8.51049,4.68,0,9121700901641,55182.1724173613,1.36,30,3137.55,4000.21,128539,361,0,8,3.647,5.35,0
10222-12701,1009016050876,9022000901611037937,13.745639,0.0530629583950843,43.09757,-8.51045,5.1,0,9022000901611,54882.1184721873,1.76,30,3120.91,4013.44,124339,342,2,8.5,3.183,4.81,0
10222-12701,1009016050876,9022000901621037915,13.739251,0.0530631876496853,43.09748,-8.51047,4.96,0,9022000901621,54882.1238179398,1.81,30,3123.59,3994.35,124329,354,2,8.2,3.17,4.79,0
10222-12701,1009016050876,9022000901631037987,13.722035,0.0530398281048308,43.09746,-8.51041,4.81,0,9022000901631,54882.1292516552,1.88,30,3113.59,4017.81,125355,337,2,8.7,3.192,4.77,0
10222-12701,1009016050876,9022000901641039793,13.738803,0.0530991283387233,43.09755,-8.51044,4.83,0,9022000901641,54882.1346748495,1.95,30,3135.83,4014.27,122778,338,0,7.9,3.165,4.78,0
10222-12701,1009016050876,9013100901611033912,13.710312,0.0528803176427082,43.09753,-8.51044,5,0,9013100901611,54862.1300415858,1.47,30,3212.22,3952.26,132763,398,0,8.1,3.186,5.18,0
10222-12701,1009016050876,9013100901621033178,13.69506,0.0528440412829286,43.0974,-8.51043,4.66,0,9013100901621,54862.1350038657,1.49,30,3216.25,3935.09,134552,398,2,8.6,3.101,5.22,0
10222-12701,1009016050876,9013100901631033972,13.708787,0.0528862352090078,43.09746,-8.51042,5.06,0,9013100901631,54862.1399815395,1.51,30,3205.43,3956.5,132475,409,2,7.9,3.138,5.03,0
10222-12701,1009016050876,9013100901641033957,13.718837,0.0529270110093917,43.09749,-8.51043,4.92,0,9013100901641,54862.1448868751,1.54,30,3228.73,3954.08,130519,373,2,8.1,3.197,5.11,0
10222-12701,1009016050876,9111100901611033420,13.72697,0.0531500991378972,43.09753,-8.51052,5.19,0,9111100901611,55146.2478651274,1.4,30,3107.97,4066,120634,385,0,7.7,3.362,5.16,0
10222-12701,1009016050876,9111100901621033652,13.740947,0.0531756020348749,43.09747,-8.51045,5.08,0,9111100901621,55146.2570335069,1.38,30,3107.9,4040.66,119585,370,0,7.2,3.366,5.12,0
