JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2459700.432,2022-04-30.9276099,bo,1.43,16.595,15.169,0.059,3.107,0.168,g
2459700.433,2022-04-30.9288503,bo,1.44,16.675,15.299,0.062,2.756,0.156,g
2459700.434,2022-04-30.9300967,bo,1.41,16.704,15.314,0.061,2.72,0.151,g
2459700.476,2022-04-30.9725082,bo,1.55,16.698,15.38,0.065,2.557,0.152,g
2459700.478,2022-04-30.9737427,bo,1.58,16.713,15.259,0.057,2.86,0.15,g
2459700.479,2022-04-30.9749975,bo,1.61,16.534,15.293,0.07,2.771,0.177,g
2459700.641,2022-05-01.1366334,bk,1.61,16.827,15.317,0.054,2.712,0.135,g
2459700.642,2022-05-01.1378798,bk,1.55,16.929,15.367,0.052,2.588,0.123,g
2459700.643,2022-05-01.1391194,bk,1.57,16.794,15.344,0.057,2.647,0.139,g
2459700.669,2022-05-01.1651512,bH,1.49,16.829,15.261,0.052,2.854,0.135,g
2459700.67,2022-05-01.1664334,bH,1.58,16.889,15.315,0.051,2.716,0.128,g
2459700.672,2022-05-01.1677196,bH,1.54,16.851,15.199,0.048,3.023,0.132,g
2459701.454,2022-05-01.9496115,bo,1.43,16.795,15.227,0.052,2.945,0.14,g
2459701.455,2022-05-01.9508554,bo,1.47,16.656,15.365,0.067,2.595,0.158,g
2459701.456,2022-05-01.9520923,bo,1.53,16.628,15.481,0.076,2.333,0.162,g
2459701.495,2022-05-01.9911892,bo,1.52,16.749,15.226,0.054,2.95,0.146,g
2459701.496,2022-05-01.9924251,bo,1.56,16.647,15.38,0.068,2.558,0.16,g
2459701.498,2022-05-01.9936561,bo,1.46,16.641,15.194,0.058,3.037,0.161,g
2459701.544,2022-05-02.0402638,bo,1.42,16.505,15.425,0.081,2.454,0.182,g
2459701.545,2022-05-02.0415151,bo,1.43,16.587,15.2,0.061,3.022,0.169,g
2459701.547,2022-05-02.0427510,bo,1.39,16.556,15.358,0.072,2.612,0.174,g
2459701.919,2022-05-02.4150165,bt,1.56,17.034,15.332,0.046,2.676,0.112,g
2459701.92,2022-05-02.4162535,bt,1.52,17.033,15.372,0.047,2.579,0.112,g
2459701.921,2022-05-02.4175096,bt,1.52,17.049,15.317,0.044,2.712,0.11,g
2459702.402,2022-05-02.8982449,bo,1.49,16.522,15.414,0.079,2.481,0.179,g
2459702.403,2022-05-02.8994842,bo,1.46,16.541,15.235,0.066,2.925,0.176,g
2459702.405,2022-05-02.9007226,bo,1.44,16.574,15.322,0.069,2.7,0.171,g
2459702.502,2022-05-02.9981055,bp,1.64,16.676,15.174,0.055,3.094,0.155,g
2459702.503,2022-05-02.9993403,bp,1.66,16.631,15.144,0.056,3.181,0.162,g
2459702.505,2022-05-03.0006005,bp,1.59,16.608,15.38,0.071,2.559,0.165,g
2459702.666,2022-05-03.1621871,bk,1.49,16.987,15.436,0.052,2.431,0.117,g
2459702.667,2022-05-03.1634334,bk,1.5,16.949,15.286,0.047,2.791,0.121,g
2459702.669,2022-05-03.1646728,bk,1.47,16.959,15.357,0.05,2.614,0.12,g
2459702.681,2022-05-03.1774587,bk,1.46,16.97,15.274,0.046,2.822,0.118,g
2459702.683,2022-05-03.1787005,bk,1.48,17.033,15.331,0.046,2.678,0.112,g
2459702.684,2022-05-03.1799494,bk,1.49,17.005,15.323,0.046,2.696,0.115,g
2459702.7,2022-05-03.1964541,bl,1.51,16.91,15.344,0.052,2.645,0.125,g
2459702.702,2022-05-03.1977142,bl,1.54,16.882,15.299,0.051,2.758,0.129,g
2459702.703,2022-05-03.1989581,bl,1.52,16.795,15.287,0.055,2.786,0.139,g
2459703.389,2022-05-03.8851650,bo,1.44,16.576,15.396,0.074,2.521,0.17,g
2459703.39,2022-05-03.8864113,bo,1.49,16.555,15.084,0.056,3.362,0.174,g
2459703.392,2022-05-03.8876682,bo,1.5,16.479,15.245,0.07,2.899,0.186,g
2459703.415,2022-05-03.9115618,bp,1.62,16.684,15.448,0.07,2.403,0.154,g
2459703.417,2022-05-03.9128027,bp,1.65,16.618,15.348,0.068,2.636,0.164,g
2459703.418,2022-05-03.9140440,bp,1.62,16.616,15.222,0.061,2.961,0.164,g
2459703.446,2022-05-03.9420834,bp,1.55,16.701,15.223,0.056,2.956,0.152,g
2459703.447,2022-05-03.9433193,bp,1.52,16.682,15.345,0.064,2.642,0.154,g
2459703.448,2022-05-03.9445718,bp,1.56,16.791,15.377,0.059,2.566,0.14,g
2459703.666,2022-05-04.1618517,bG,1.58,16.668,15.341,0.064,2.651,0.157,g
2459703.667,2022-05-04.1631369,bG,1.63,16.723,15.54,0.074,2.209,0.149,g
2459703.668,2022-05-04.1644327,bG,1.57,16.734,15.252,0.056,2.879,0.147,g
2459703.701,2022-05-04.1974417,bH,1.37,16.938,15.341,0.05,2.654,0.122,g
2459703.703,2022-05-04.1987268,bH,1.4,16.916,15.354,0.052,2.621,0.125,g
2459703.704,2022-05-04.2000174,bH,1.41,16.927,15.287,0.048,2.788,0.123,g
2459704.396,2022-05-04.8921335,bo,1.46,16.618,15.23,0.061,2.939,0.164,g
2459704.397,2022-05-04.8934039,bo,1.48,16.601,15.319,0.067,2.707,0.167,g
2459704.399,2022-05-04.8946484,bo,1.46,16.554,15.235,0.065,2.924,0.174,g
2459704.419,2022-05-04.9149561,bp,1.51,16.734,15.245,0.055,2.895,0.147,g
2459704.42,2022-05-04.9162023,bp,1.55,16.725,15.396,0.064,2.52,0.148,g
2459704.421,2022-05-04.9174393,bp,1.55,16.701,15.354,0.063,2.621,0.152,g
2459704.489,2022-05-04.9846949,bo,1.47,16.719,15.302,0.059,2.75,0.149,g
2459704.49,2022-05-04.9859365,bo,1.49,16.601,15.319,0.067,2.705,0.167,g
2459704.491,2022-05-04.9871947,bo,1.47,16.615,15.365,0.069,2.594,0.164,g
2459704.578,2022-05-05.0735825,bp,1.56,16.388,15.329,0.082,2.683,0.203,g
2459704.579,2022-05-05.0749062,bp,1.57,16.502,15.143,0.063,3.184,0.183,g
2459704.58,2022-05-05.0762966,bp,1.6,16.529,15.346,0.074,2.64,0.178,g
2459704.645,2022-05-05.1415370,bk,1.52,16.951,15.276,0.047,2.818,0.12,g
2459704.647,2022-05-05.1427775,bk,1.42,16.854,15.379,0.056,2.56,0.132,g
2459704.648,2022-05-05.1440077,bk,1.46,16.917,15.336,0.051,2.663,0.124,g
2459705.62,2022-05-06.1156810,bG,1.6,15.881,15.201,0.118,3.015,0.324,g
2459705.621,2022-05-06.1169612,bG,1.62,15.244,>15.244,99.99,1.906,0.58,g
2459705.622,2022-05-06.1182355,bG,1.59,14.37,>14.370,99.99,3.839,1.298,g
2459705.647,2022-05-06.1434913,bH,1.43,15.664,15.224,0.146,2.956,0.394,g
2459705.649,2022-05-06.1448020,bH,1.43,15.895,15.493,0.151,2.305,0.319,g
2459705.65,2022-05-06.1460917,bH,1.46,15.983,15.189,0.105,3.05,0.295,g
2459706.049,2022-05-06.5449708,bC,1.41,16.999,15.201,0.042,3.018,0.116,g
2459706.682,2022-05-07.1777090,bH,1.44,16.847,15.248,0.05,2.889,0.133,g
2459706.683,2022-05-07.1789947,bH,1.47,16.893,15.302,0.05,2.75,0.127,g
2459706.684,2022-05-07.1802734,bH,1.42,16.908,15.302,0.05,2.75,0.125,g
2459706.842,2022-05-07.3381564,bs,1.43,17.163,15.381,0.042,2.557,0.099,g
2459706.843,2022-05-07.3394569,bs,1.46,17.173,15.417,0.043,2.471,0.098,g
2459706.845,2022-05-07.3407222,bs,1.45,17.105,15.279,0.041,2.807,0.105,g
2459707.943,2022-05-08.4389645,bt,1.85,16.914,15.33,0.051,2.679,0.125,g
2459707.944,2022-05-08.4402368,bt,1.72,16.91,15.231,0.047,2.936,0.125,g
2459707.945,2022-05-08.4415267,bt,1.77,16.825,15.236,0.051,2.921,0.135,g
2459708.376,2022-05-08.8724929,bo,1.37,16.172,15.464,0.114,2.37,0.247,g
2459708.378,2022-05-08.8737473,bo,1.39,16.257,15.311,0.092,2.726,0.228,g
2459708.379,2022-05-08.8749996,bo,1.44,16.219,15.154,0.082,3.15,0.237,g
2459708.852,2022-05-09.3482702,bD,1.51,16.883,15.319,0.052,2.707,0.128,g
2459708.853,2022-05-09.3495261,bD,1.5,16.911,15.309,0.05,2.732,0.125,g
2459708.855,2022-05-09.3507755,bD,1.54,16.98,15.341,0.048,2.653,0.117,g
2459708.867,2022-05-09.3635835,bC,1.56,17.033,15.266,0.043,2.841,0.112,g
2459708.869,2022-05-09.3648359,bC,1.5,16.935,15.251,0.046,2.881,0.122,g
2459708.87,2022-05-09.3660909,bC,1.4,16.842,15.345,0.055,2.644,0.133,g
2459708.871,2022-05-09.3673351,bC,1.42,16.948,15.246,0.046,2.894,0.121,g
2459708.872,2022-05-09.3685900,bC,1.42,16.955,15.292,0.047,2.773,0.12,g
2459708.874,2022-05-09.3698482,bC,1.44,16.945,15.33,0.049,2.679,0.121,g
2459709.378,2022-05-09.8740993,bo,1.57,16.142,15.088,0.083,3.347,0.254,g
2459709.379,2022-05-09.8753457,bo,1.59,15.981,15.122,0.099,3.246,0.294,g
2459709.38,2022-05-09.8765898,bo,1.59,15.951,15.094,0.099,3.329,0.303,g
2459709.393,2022-05-09.8893188,bo,1.66,16.038,15.419,0.124,2.469,0.279,g
2459709.394,2022-05-09.8905549,bo,1.61,16.07,14.887,0.074,4.032,0.272,g
2459709.396,2022-05-09.8917978,bo,1.57,16.299,15.27,0.085,2.832,0.22,g
2459709.423,2022-05-09.9194489,bp,1.52,16.268,15.444,0.102,2.414,0.226,g
2459709.425,2022-05-09.9207,bp,1.52,16.179,15.301,0.098,2.751,0.245,g
2459709.426,2022-05-09.9219486,bp,1.49,16.178,15.156,0.085,3.145,0.246,g
2459709.454,2022-05-09.9496655,bp,1.55,16.454,15.236,0.071,2.921,0.191,g
2459709.455,2022-05-09.9509153,bp,1.51,16.524,15.244,0.067,2.9,0.179,g
2459709.456,2022-05-09.9521837,bp,1.56,16.631,15.339,0.066,2.659,0.162,g
2459709.54,2022-05-10.0365783,bp,1.55,16.507,15.169,0.064,3.107,0.182,g
2459709.542,2022-05-10.0378311,bp,1.56,16.565,15.162,0.06,3.127,0.172,g
2459709.543,2022-05-10.0390765,bp,1.54,16.586,15.454,0.077,2.39,0.169,g
2459709.58,2022-05-10.0764450,bp,1.57,15.56,>15.560,99.99,1.765,0.435,g
2459709.582,2022-05-10.0777040,bp,1.56,15.206,>15.206,99.99,1.631,0.602,g
2459709.583,2022-05-10.0791945,bp,1.52,15.252,>15.252,99.99,0.627,0.576,g
2459709.622,2022-05-10.1179844,bk,1.51,16.185,15.344,0.101,2.645,0.244,g
2459709.623,2022-05-10.1192355,bk,1.5,16.139,15.48,0.119,2.333,0.254,g
2459709.624,2022-05-10.1204759,bk,1.48,16.259,15.185,0.081,3.062,0.228,g
2459709.771,2022-05-10.2672907,bD,1.52,16.607,15.428,0.074,2.446,0.165,g
2459709.772,2022-05-10.2685430,bD,1.59,16.708,15.352,0.063,2.627,0.151,g
2459709.774,2022-05-10.2697987,bD,1.5,16.653,15.212,0.058,2.986,0.159,g
2459710.396,2022-05-10.8916835,bp,1.6,15.925,15.138,0.106,3.198,0.31,g
2459710.397,2022-05-10.8932600,bp,1.58,16.077,15.37,0.114,2.584,0.269,g
2459710.404,2022-05-10.9005437,bo,1.53,15.994,15.229,0.108,2.94,0.291,g
2459710.406,2022-05-10.9019168,bo,1.55,16.056,15.322,0.111,2.699,0.275,g
2459710.407,2022-05-10.9031606,bo,1.51,16.093,15.234,0.099,2.928,0.266,g
2459710.426,2022-05-10.9225171,bp,1.59,16.076,15.159,0.094,3.139,0.27,g
2459710.428,2022-05-10.9239056,bp,1.52,16.047,15.422,0.123,2.461,0.277,g
2459710.429,2022-05-10.9252729,bp,1.59,16.058,15.107,0.091,3.292,0.274,g
2459710.438,2022-05-10.9340895,bo,1.51,16.2,15.506,0.116,2.277,0.241,g
2459710.439,2022-05-10.9355702,bo,1.46,16.145,15.678,0.143,1.945,0.253,g
2459710.441,2022-05-10.9368578,bo,1.46,16.044,14.519,0.054,5.654,0.278,g
2459710.546,2022-05-11.0418879,bo,1.55,16.572,15.351,0.071,2.63,0.171,g
2459710.547,2022-05-11.0434650,bo,1.55,16.576,15.312,0.068,2.724,0.17,g
2459710.549,2022-05-11.0450651,bo,1.53,16.527,15.259,0.068,2.86,0.178,g
2459710.562,2022-05-11.0580219,bp,1.5,16.536,15.179,0.063,3.081,0.177,g
2459710.564,2022-05-11.0599349,bp,1.53,16.518,15.296,0.071,2.764,0.18,g
2459710.565,2022-05-11.0611814,bp,1.55,16.557,15.383,0.074,2.551,0.174,g
2459711.42,2022-05-11.9159725,bp,1.6,15.763,15.298,0.143,2.761,0.36,g
2459711.421,2022-05-11.9172165,bp,1.62,15.862,15.203,0.119,3.012,0.328,g
2459711.422,2022-05-11.9184534,bp,1.53,15.885,15.578,0.165,2.132,0.321,g
2459711.427,2022-05-11.9234424,bo,1.51,15.812,15.191,0.124,3.044,0.344,g
2459711.429,2022-05-11.9246819,bo,1.5,15.825,15.47,0.158,2.355,0.34,g
2459711.43,2022-05-11.9259059,bo,1.49,15.927,15.138,0.106,3.197,0.31,g
2459711.686,2022-05-12.1826490,bk,1.53,16.162,15.44,0.113,2.422,0.249,g
2459711.687,2022-05-12.1835394,bH,1.5,16.009,15.266,0.11,2.843,0.287,g
2459711.688,2022-05-12.1838920,bk,1.65,16.089,15.115,0.089,3.264,0.266,g
2459711.689,2022-05-12.1848306,bH,1.49,16.064,15.13,0.093,3.221,0.273,g
2459711.689,2022-05-12.1851280,bk,1.58,16.14,15.428,0.114,2.448,0.254,g
2459711.69,2022-05-12.1861256,bH,1.41,16.071,15.302,0.108,2.751,0.271,g
2459711.806,2022-05-12.3025560,bt,1.56,16.116,15.157,0.091,3.142,0.26,g
2459711.808,2022-05-12.3038585,bt,1.55,16.233,15.28,0.091,2.807,0.233,g
2459712.403,2022-05-12.8996290,bp,1.56,15.588,15.095,0.139,3.326,0.423,g
2459712.405,2022-05-12.9008600,bp,1.48,15.588,15.347,0.176,2.638,0.423,g
2459712.406,2022-05-12.9021042,bp,1.58,15.548,15.32,0.178,2.705,0.439,g
2459712.492,2022-05-12.9886489,bo,1.67,15.58,15.049,0.134,3.469,0.426,g
2459712.494,2022-05-12.9898886,bo,1.54,15.64,15.404,0.176,2.502,0.403,g
2459712.495,2022-05-12.9911315,bo,1.59,15.608,15.374,0.177,2.572,0.415,g
2459712.55,2022-05-13.0460871,bp,1.64,15.642,15.234,0.151,2.926,0.402,g
2459712.551,2022-05-13.0473241,bp,1.64,15.51,15.333,0.186,2.671,0.454,g
2459712.615,2022-05-13.1116315,bG,1.68,14.431,>14.431,99.99,0.526,1.227,g
2459712.737,2022-05-13.2334723,bH,1.51,14.379,>14.379,99.99,0.272,1.287,g
2459712.764,2022-05-13.2601966,bG,2,14.93,>14.930,99.99,2.02,0.775,g
2459712.765,2022-05-13.2614939,bG,1.84,14.822,14.552,0.171,5.488,0.857,g
2459712.767,2022-05-13.2627833,bG,1.48,14.936,>14.936,99.99,2.529,0.771,g
2459712.961,2022-05-13.4570922,bC,1.46,16.522,15.172,0.063,3.097,0.179,g
2459712.962,2022-05-13.4583387,bC,1.49,16.604,15.234,0.062,2.925,0.166,g
2459712.963,2022-05-13.4595900,bC,1.58,16.585,15.34,0.07,2.655,0.169,g
2459713.439,2022-05-13.9354430,bo,1.35,15.431,15.105,0.162,3.296,0.488,g
2459713.441,2022-05-13.9366802,bo,1.56,15.438,>15.438,99.99,2.053,0.485,g
2459713.442,2022-05-13.9379218,bo,1.59,15.469,15.135,0.161,3.207,0.472,g
2459713.443,2022-05-13.9391868,bp,1.51,15.481,15.455,0.214,2.387,0.466,g
2459713.444,2022-05-13.9404240,bp,1.6,15.34,>15.340,99.99,2.505,0.531,g
2459713.446,2022-05-13.9416718,bp,1.51,15.483,>15.483,99.99,1.402,0.466,g
2459713.734,2022-05-14.2297446,bl,1.62,15.476,14.997,0.141,3.639,0.468,g
2459713.735,2022-05-14.2309862,bl,1.48,15.54,15.299,0.176,2.757,0.442,g
2459713.736,2022-05-14.2322269,bl,1.57,15.518,>15.518,99.99,1.718,0.451,g
2459713.741,2022-05-14.2374109,bk,1.56,15.678,15.207,0.142,2.999,0.389,g
2459713.742,2022-05-14.2386407,bk,1.63,15.773,15.505,0.171,2.279,0.356,g
2459713.744,2022-05-14.2398908,bk,1.59,15.712,15.503,0.181,2.287,0.377,g
2459714.37,2022-05-14.8658956,bo,1.82,14.961,>14.961,99.99,2.431,0.753,g
2459714.371,2022-05-14.86715,bo,1.47,15.202,>15.202,99.99,-0.397,0.603,g
2459714.372,2022-05-14.8683962,bo,1.65,15.032,>15.032,99.99,1.945,0.705,g
2459714.419,2022-05-14.9153542,bp,1.73,15.241,>15.241,99.99,1.575,0.582,g
2459714.42,2022-05-14.9165806,bp,1.62,15.229,>15.229,99.99,2.593,0.588,g
2459714.422,2022-05-14.9178199,bp,1.55,15.173,>15.173,99.99,2.064,0.619,g
2459714.431,2022-05-14.9268180,bp,1.66,15.303,15.232,0.205,2.931,0.55,g
2459714.432,2022-05-14.9280571,bp,1.72,15.283,>15.283,99.99,1.887,0.56,g
2459714.433,2022-05-14.9293001,bp,1.65,15.203,15.074,0.195,3.39,0.603,g
2459714.62,2022-05-15.1157343,bG,1.47,15.478,15.476,0.219,2.342,0.468,g
2459714.621,2022-05-15.1170436,bG,1.57,15.437,>15.437,99.99,1.715,0.486,g
2459714.622,2022-05-15.1183472,bG,1.4,15.267,15.236,0.213,2.921,0.568,g
2459714.69,2022-05-15.1864144,bl,1.55,15.441,15.099,0.16,3.316,0.484,g
2459714.691,2022-05-15.1876655,bl,1.52,15.389,15.208,0.185,3,0.508,g
2459714.693,2022-05-15.1889153,bl,1.71,15.388,15.188,0.183,3.051,0.508,g
2459714.893,2022-05-15.3887318,bD,1.55,16.366,15.457,0.095,2.384,0.206,g
2459714.894,2022-05-15.3899782,bD,1.49,16.122,15.427,0.116,2.45,0.258,g
2459714.895,2022-05-15.3912332,bD,1.5,16.278,15.355,0.094,2.619,0.224,g
2459714.954,2022-05-15.4500370,bC,1.43,16.199,15.131,0.082,3.218,0.241,g
2459714.955,2022-05-15.4513011,bC,1.4,16.215,15.391,0.103,2.531,0.237,g
2459714.956,2022-05-15.4525631,bC,1.44,16.317,15.284,0.085,2.795,0.216,g
2459714.996,2022-05-15.4924216,bD,1.53,16.1,15.144,0.091,3.18,0.264,g
2459714.997,2022-05-15.4936819,bD,1.52,16.204,15.239,0.09,2.916,0.24,g
2459714.999,2022-05-15.4949428,bD,1.54,16.134,15.256,0.098,2.866,0.256,g
2459715.799,2022-05-16.2956471,bC,1.4,15.87,15.135,0.111,3.207,0.326,g
2459715.801,2022-05-16.2969094,bC,1.58,15.922,15.353,0.13,2.624,0.311,g
2459715.802,2022-05-16.2981569,bC,1.64,15.951,15.34,0.125,2.655,0.303,g
2459715.961,2022-05-16.4575578,bD,1.5,16.092,15.19,0.095,3.048,0.266,g
2459715.963,2022-05-16.4588218,bD,1.47,16.059,15.54,0.136,2.209,0.274,g
2459715.964,2022-05-16.4600732,bD,1.53,16.156,15.103,0.083,3.302,0.251,g
2459716.615,2022-05-17.1110149,bH,1.8,15.278,>15.278,99.99,1.232,0.562,g
2459716.616,2022-05-17.1123082,bH,1.8,15.339,>15.339,99.99,0.452,0.531,g
2459716.617,2022-05-17.1136083,bH,1.97,15.24,>15.240,99.99,1.632,0.582,g
2459717.352,2022-05-17.8480740,bo,1.57,14.602,14.447,0.19,6.039,1.049,g
2459717.353,2022-05-17.8493531,bo,1.42,14.714,>14.714,99.99,0.327,0.945,g
2459717.354,2022-05-17.8506655,bo,1.47,14.674,>14.674,99.99,3.076,0.981,g
2459717.397,2022-05-17.8936062,bp,1.68,14.982,>14.982,99.99,1.813,0.738,g
2459717.399,2022-05-17.8949173,bp,1.63,14.943,>14.943,99.99,2.806,0.765,g
2459717.4,2022-05-17.8962046,bp,1.64,15.079,>15.079,99.99,1.998,0.676,g
2459717.492,2022-05-17.9878467,bo,1.53,15.08,>15.080,99.99,3.078,0.675,g
2459717.493,2022-05-17.9890871,bo,1.53,14.916,>14.916,99.99,1.709,0.785,g
2459717.494,2022-05-17.9903745,bo,1.55,15.006,>15.006,99.99,0.043,0.722,g
2459717.774,2022-05-18.2704528,bC,1.38,17.119,15.304,0.041,2.743,0.103,g
2459717.775,2022-05-18.2717195,bC,1.4,17.085,15.282,0.041,2.801,0.107,g
2459717.777,2022-05-18.2729780,bC,1.39,17.214,15.345,0.039,2.642,0.095,g
2459718.84,2022-05-19.3367252,bt,1.45,16.548,15.377,0.074,2.566,0.175,g
2459718.842,2022-05-19.3380461,bt,1.49,16.511,15.335,0.074,2.669,0.181,g
2459718.843,2022-05-19.3393667,bt,1.47,16.579,15.39,0.073,2.534,0.17,g
2459719.853,2022-05-20.3491453,bs,1.68,16.545,15.386,0.075,2.544,0.175,g
2459719.854,2022-05-20.3504704,bs,1.63,16.576,15.22,0.063,2.966,0.17,g
2459719.855,2022-05-20.3517876,bs,1.72,16.721,15.378,0.064,2.563,0.149,g
2459720.631,2022-05-21.1277472,bG,1.44,16.561,15.308,0.069,2.734,0.173,g
2459720.633,2022-05-21.1290429,bG,1.45,16.335,15.289,0.083,2.782,0.212,g
2459720.634,2022-05-21.1303324,bG,1.47,16.413,15.288,0.078,2.785,0.198,g
2459721.627,2022-05-22.1233166,bH,1.44,16.986,15.351,0.048,2.628,0.117,g
2459721.628,2022-05-22.1246107,bH,1.41,16.898,15.281,0.049,2.803,0.127,g
2459721.63,2022-05-22.1258965,bH,1.41,16.901,15.318,0.051,2.711,0.126,g
2459721.774,2022-05-22.2703119,bG,1.58,15.737,15.543,0.183,2.201,0.369,g
2459721.775,2022-05-22.2716070,bG,1.59,15.804,>15.804,99.99,1.708,0.347,g
2459721.777,2022-05-22.2728908,bG,1.52,14.69,>14.690,99.99,0.739,0.966,g
2459723.834,2022-05-24.3305824,bC,1.36,17.185,15.355,0.04,2.617,0.097,g
2459723.835,2022-05-24.3318523,bC,1.38,17.186,15.307,0.039,2.735,0.097,g
2459723.837,2022-05-24.3331234,bC,1.37,17.204,15.278,0.037,2.812,0.096,g
2459723.857,2022-05-24.3536922,bD,1.74,17.181,15.318,0.039,2.71,0.097,g
2459723.859,2022-05-24.3549532,bD,1.7,17.174,15.324,0.04,2.694,0.098,g
2459723.86,2022-05-24.3562131,bD,1.54,17.198,15.283,0.037,2.798,0.096,g
2459723.992,2022-05-24.4885896,bD,1.48,17.197,15.305,0.038,2.742,0.096,g
2459723.993,2022-05-24.4898663,bD,1.46,17.098,15.294,0.041,2.771,0.105,g
2459723.995,2022-05-24.4911365,bD,1.46,17.103,15.296,0.041,2.766,0.105,g
2459724.684,2022-05-25.1808033,bk,1.48,16.853,15.329,0.054,2.683,0.132,g
2459724.686,2022-05-25.1820556,bk,1.46,16.931,15.244,0.046,2.899,0.123,g
2459724.687,2022-05-25.1832928,bk,1.46,16.356,15.382,0.089,2.553,0.209,g
2459724.715,2022-05-25.2110599,bk,1.56,15.073,>15.073,99.99,0.653,0.679,g
2459724.716,2022-05-25.2122934,bk,1.45,15.057,>15.057,99.99,1.055,0.689,g
2459724.717,2022-05-25.2135552,bk,1.47,15.053,>15.053,99.99,2.58,0.693,g
2459724.757,2022-05-25.2529511,bk,1.52,16.579,15.431,0.076,2.441,0.17,g
2459724.758,2022-05-25.2541836,bk,1.46,16.488,15.36,0.077,2.608,0.185,g
2459724.759,2022-05-25.2554172,bk,1.52,15.639,15.484,0.19,2.325,0.404,g
2459724.772,2022-05-25.2683290,bH,1.47,16.627,15.283,0.063,2.798,0.163,g
2459724.773,2022-05-25.2696203,bH,1.54,16.191,15.209,0.089,2.996,0.243,g
2459724.774,2022-05-25.2709059,bH,1.52,16.098,15.334,0.109,2.668,0.266,g
2459725.751,2022-05-26.2473383,bH,1.64,16.757,15.404,0.063,2.503,0.144,g
2459725.752,2022-05-26.2486494,bH,1.64,16.725,15.16,0.052,3.133,0.149,g
2459725.753,2022-05-26.2499379,bH,1.67,16.828,15.36,0.057,2.605,0.135,g
2459726.569,2022-05-27.0658372,bk,1.47,16.845,15.327,0.054,2.687,0.133,g
2459726.571,2022-05-27.0670743,bk,1.46,16.918,15.336,0.051,2.666,0.124,g
2459726.572,2022-05-27.0683126,bk,1.46,16.871,15.381,0.055,2.556,0.13,g
2459726.878,2022-05-27.3748916,bt,1.5,16.342,15.191,0.076,3.043,0.211,g
2459726.88,2022-05-27.3761351,bt,1.52,16.336,15.331,0.087,2.676,0.213,g
2459727.811,2022-05-28.3075556,bs,1.51,17.084,15.373,0.045,2.576,0.107,g
2459727.812,2022-05-28.3087998,bs,1.47,17.037,15.32,0.045,2.706,0.111,g
2459727.814,2022-05-28.3100381,bs,1.5,17.095,15.268,0.041,2.837,0.106,g
2459727.86,2022-05-28.3568386,bt,1.47,16.84,15.27,0.051,2.83,0.134,g
2459727.862,2022-05-28.3580723,bt,1.49,16.851,15.341,0.054,2.653,0.132,g
2459727.863,2022-05-28.3593151,bt,1.47,16.821,15.237,0.051,2.918,0.136,g
2459727.914,2022-05-28.4106273,bt,1.58,16.857,15.363,0.055,2.598,0.132,g
2459727.915,2022-05-28.4118604,bt,1.58,16.857,15.305,0.052,2.742,0.132,g
2459727.917,2022-05-28.4130997,bt,1.52,16.769,15.398,0.062,2.516,0.143,g
2459730.448,2022-05-30.9445493,bo,1.54,16.722,15.278,0.058,2.812,0.149,g
2459730.449,2022-05-30.9457934,bo,1.53,16.725,15.347,0.061,2.637,0.148,g
2459730.45,2022-05-30.9470437,bo,1.56,16.652,15.31,0.064,2.728,0.159,g
2459730.772,2022-05-31.2687019,bt,1.48,17.02,15.331,0.046,2.677,0.113,g
2459730.773,2022-05-31.2699490,bt,1.48,17.066,15.326,0.044,2.689,0.109,g
2459731.475,2022-05-31.9712128,bo,1.53,16.589,15.235,0.063,2.925,0.168,g
2459731.476,2022-05-31.9724604,bo,1.52,16.626,15.367,0.069,2.589,0.163,g
2459731.477,2022-05-31.9737023,bo,1.56,16.563,15.283,0.067,2.799,0.172,g
2459732.871,2022-06-02.3672288,bs,1.48,17.046,15.235,0.041,2.924,0.111,g
2459732.872,2022-06-02.3684716,bs,1.48,17.001,15.209,0.042,2.995,0.115,g
2459732.873,2022-06-02.3696913,bs,1.49,16.989,15.278,0.045,2.81,0.117,g
2459732.891,2022-06-02.3874828,bD,1.68,17.145,15.255,0.038,2.871,0.101,g
2459732.892,2022-06-02.3887296,bD,1.64,17.193,15.253,0.037,2.878,0.097,g
2459732.893,2022-06-02.3900049,bD,1.64,17.128,15.291,0.04,2.778,0.102,g
2459735.739,2022-06-05.2362532,bt,1.45,16.845,15.373,0.057,2.576,0.134,g
2459735.741,2022-06-05.2374890,bt,1.44,16.782,15.302,0.056,2.75,0.141,g
2459735.742,2022-06-05.2387238,bt,1.48,17.052,15.32,0.044,2.705,0.11,g
2459735.752,2022-06-05.2486813,bt,1.49,17.048,15.388,0.047,2.541,0.11,g
2459735.753,2022-06-05.2499268,bt,1.49,16.922,15.267,0.048,2.839,0.124,g
2459735.754,2022-06-05.2511708,bt,1.46,16.948,15.263,0.046,2.849,0.121,g
2459736.956,2022-06-06.4528594,bC,1.55,17.172,15.292,0.039,2.774,0.098,g
2459736.957,2022-06-06.4541237,bC,1.54,17.262,15.318,0.036,2.709,0.091,g
2459736.959,2022-06-06.4553910,bC,1.53,17.189,15.238,0.036,2.917,0.097,g
2459737.585,2022-06-07.0820334,bH,1.42,16.682,15.205,0.056,3.006,0.155,g
